title,photo,update_date,discount_price,original_price,discount_amount,seller,comments_number,deal_score,url
Levi's Men's 505 Regular Fit Jeans ,https://static.slickdealscdn.com/attachment/9/3/0/4/6/1/9/200x200/13857656.thumb,less than a minute ago,$24,$70,65%,Amazon,7 Comments,+18,https://slickdeals.net/f/16770323-levi-s-men-s-505-regular-fit-jeans-roth-stretch-23-99-free-shipping?src=frontpage
Sony PS5 Console ,https://static.slickdealscdn.com/attachment/8/6/6/3/0/200x200/13859312.thumb,about 1 hour ago,$540,$640,15%,Dell Technologies,29 Comments,+16,https://slickdeals.net/f/16771118-sony-playstation-5-console-disc-model-call-of-duty-modern-warfare-ii-bundle-100-dell-egift-promo-card-539-99-free-shipping-via-dell?src=frontpage
Nike Men's Air Max 90 Golf Shoes ,https://static.slickdealscdn.com/attachment/3/1/5/8/7/8/1/7/200x200/13843682.thumb,about 2 hours ago,$89,$130,31%,Nike,14 Comments,+21,https://slickdeals.net/f/16764896-nike-men-s-air-max-90-golf-shoes-grey-black-infrared-89-free-shipping?src=frontpage
2-Piece Nautica Men's Modern Fit Suits ,https://static.slickdealscdn.com/attachment/1/6/7/9/8/1/2/200x200/13859936.thumb,about 2 hours ago,$90,$395,77%,Macy's,4 Comments,+19,https://slickdeals.net/f/16766321-2-piece-nautica-men-s-modern-fit-suits-bi-stretch-stretch-cotton-solid-cotton-linen-blend-various-90-free-shipping?src=frontpage
"3"" IRWIN 100 Series C-Clamp",https://static.slickdealscdn.com/attachment/1/3/5/8/6/2/3/200x200/13852118.thumb,about 5 hours ago,$4.80,$10,52%,Amazon,27 Comments,+22,https://slickdeals.net/f/16768331-back-3-irwin-100-series-c-clamp-4-79-free-shipping-w-prime-or-on-25?src=frontpage
7,https://static.slickdealscdn.com/attachment/5/1/4/8/2/1/3/200x200/13859258.thumb,about 9 hours ago,$200,$250,20%,Best Buy,33 Comments,+21,https://slickdeals.net/f/16768820-7-0-cu-ft-insignia-garage-ready-chest-freezer-200-more-free-store-pickup?src=frontpage
Hastings 11,https://static.slickdealscdn.com/attachment/1/3/5/8/6/2/3/200x200/13857350.thumb,about 9 hours ago,$8.55,$25,65%,Lowe's,27 Comments,+25,https://slickdeals.net/f/16770218-coca-cola-delicious-refreshing-vintage-chrome-clock-8-55-at-lowe-s-w-free-store-pickup?src=frontpage
Mainstays Classic Open Shelf Nightstand ,https://static.slickdealscdn.com/attachment/2/2/8/7/3/3/2/1/200x200/13849064.thumb,about 11 hours ago,$20,$39,48%,Walmart,12 Comments,+20,https://slickdeals.net/f/16766990-mainstays-classic-open-shelf-nightstand-black-oak-20-free-s-h-w-walmart-or-35?src=frontpage
10 Gal 40 L Costway Water Alcohol Distiller with Circulating Pump,https://static.slickdealscdn.com/attachment/1/8/6/3/2/3/2/200x200/13859060.thumb,about 11 hours ago,$98,$148,33%,Costway,50 Comments,+24,https://slickdeals.net/f/16764554-10-gallon-40l-costway-water-alcohol-distiller-w-circulating-pump-98-free-shipping?src=frontpage
Nike Sunglasses ,https://static.slickdealscdn.com/attachment/3/7/4/7/9/3/200x200/13812347.thumb,about 11 hours ago,$34,$149,77%,EyeDictive,27 Comments,+33,https://slickdeals.net/f/16752125-nike-non-polarized-sunglasses-from-34-free-shipping?src=frontpage
